Name,Year,Actors
Any Given Sunday,1999,"Al Pacino, Dennis Quaid, Cameron Diaz, James Woods, Jamie Foxx, LL Cool J, Aaron Eckhart, Matthew Modine, Lauren Holly, Lela Rochon, John C. McGinley, Charlton Heston, James Karen, Elizabeth Berkley, Ann-Margret, Bill Bellamy, Lawrence Taylor, Andrew Bryniarski, Jim Brown, Gianni Russo, Duane Martin, Clifton Davis, John Daniel, Pat O'Hara, Jerry A. Sharp, The Boogeyman, Mazio Royster, Todd Smith, Jamie Williams, Craig Thomson, Greg Orvis, Rick Johnson, Björn Nittmo, Matt Martinez, Pete Ohnegian, Brian E. O'Neal, Robert Goff, Tony Egues, Marc Claus, Michelle A. Porachan, Tyler Cravens, James A. Bachand, Jason Rubenstein, Joseph Unitas, J.V. Goodman, Skip McClendon, Derrick Lassic, Fred Lester, Eric Miller, Todd Eric Yeaman, Clyde Sherman, Connell Spain Jr., Otis Mounds, Matt Storm, Michael Osuna, Connell Maynor, Marty Hochertz, Robert Gordon, Barry Wagner, Richard Mckenzie, Sean Hamlet, Robert Grogan, Nyle Wiren, Michael Groh III, Len Johnson, Basil Proctor, Mathew Keneley, Kevin Reid, Art Young, William Hanlon, Allan Graf, Joseph W. Underwood, Timothy F. Crowley, Steven Raulerson, Oliver Stone, Phil Latzman, Barry Switzer, Mark Robert Ellis, Anthony L. Tanzi, Joseph A. Wilson, Margaret Betts, Antares Davis, Liz Petterson, Lester Speight, Daniel Marino, Alexandra L. Hellman, Hunter White, Kirsten Krueger, Joanna Theobalds, Tonya Oliver, Amy Dorris, Mary Fanaro, Sarah Penman, Kathy Alzado Murray, Sacha Voski, Nikki Novak, Michelle Bernard, Lisa Ann Phillips, Cat Stone, Carin Abnathy"
Magnolia,1999,"Tom Cruise, Melinda Dillon, April Grace, Luis Guzmán, Philip Baker Hall, Philip Seymour Hoffman, Ricky Jay, William H. Macy, Alfred Molina, Julianne Moore, John C. Reilly, Jason Robards Jr., Melora Walters, Jeremy Blackman, Orlando Jones, Henry Gibson, Michael Murphy, Michael Bowen, Felicity Huffman, Genevieve Zweig, Thomas Jane, Eileen Ryan Penn, Ricky Jay, Emmanuel Johnson, Don McManus, Danny Wells, Pat Healy, Mark Flannagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond 'Big Guy' Gonzales, Brad Hunt, Jim Meskimen, Chris O'Hara, Clement Blake, Frank Elmore, John Kraft Seitz, Cory Buck, Tim Soronen, Jim Ortlieb, Holly Houston, Benjamin Niedens, Veronica Hart, Melissa Spell, James Kiriyama Lem, Jason 'Jake' Cross, Charlie Scott, Juan Medrano, John Pritchett, Cleo King, Michael Shamus Wiles, Jason Andrews, John S. Davies, Kevin Breznahan, Kevin Breznahan, Miguel Perez, David Masuda, Neil Pepe, Lionel Mark Smith, Annette Helde, Lynne Lerner, Scott Burkett, Bob Brewer, Julie Brewer, Nancy Marston, Maurey Marston, Jamala Gaither, Amy Brown, Meagen Fay, Patricia Forte, Patrick Warren, Virginia Pereira, Craig Kvinsland, Patricia Scanlon, Natalie Marston, Bobby Brewer, Clark Gregg, Art Frankel, Matt Gerald, Guillermo Melgarejo, Paul F. Tompkins, Mary Lynn Rajskub, Jim Beaver, Ezra Buzzington, Denise Woolfork, Ron Kalina, Michael Burton, Danny Wilson, Robert Downey Sr., William Mapother, Larry Ballard, Brett Higgins, Brian Higgins, Michael Phillips, Lillian Adams, Steven Bush, Mike Massa, Dale Gibson"
The Truman Show,1998,"Jim Carrey, Laura Linney, Ed Harris, Noah Emmerich, Natascha McElhone, Paul Giamatti, Peter Krause, Holland Taylor, Heidi Schanz, Judy Clayton, Don Taylor, Ron Taylor, Brian Delate, Laura Linney, Natascha McElhone, Blair Slater, Ted Raymond, Fritz Dominique, Angel Schmiedt, Nastassja Schmiedt, Muriel Moore, Mal Jones, Judson Vaughn, Earl Hilliard Jr., David Andrew Nash, Jim Towers, Savannah Swafford, Antoni Corone, Mario Ernesto Sánchez, John Roselius, Kade Coates, Marcia DeBonis, Sam Kitchin, Sebastian Youngblood, Dave Corey, Mark Alan Gillott, Jay Saiter, Tony Todd, Marco Rubeo, Darryl Davis, Robert Davis, R.J. Murdock, Matthew McDonough, Larry McDowell, Joseph Lucus, Logan Kirksey, Adam Tomei, Harry Shearer, Una Damon, Philip Baker Hall, John Pleshette, Philip Glass, John Pramik, O-Lan Jones, Krista Lynn Landolfi, Joe Minjares, Al Foster, Zoaunne LeRoy, Millie Slavin, Terry Camilleri, Donna Hardy, Jeanette Miller, Joel McKinnon Miller, Tom Simmons, Susan Angelo, Carly Smiga, Yuji Okumoto, Kiyoko Yamaguchi, Saemi Nakamura, Courtney Pakiz, Jake Eberle, Melissa Fitzgerald, Marc Macaulay, Mickalean McCormick, Lorin Moore, Kevin D. Ross, Erica Taylor, David Andrew Nash"
Courage Under Fire,1996,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Matt Damon, Scott Glenn, Bronson Pinchot, Željko Ivanek, Regina Taylor, Michael Moriarty, Sean Patrick Thomas, Seth Gilliam, Manny Pérez, Ned Vaughn, Sean Astin, Tim Guinee, Armand Darrius, David McSwain, Bruce McGill"
Bound,1996,"Gina Gershon, Jennifer Tilly, Joe Pantoliano, John P. Ryan, Christopher Meloni, Mary Mara, Richard C. Sarafian, Barry Kivel, Susie Bright"
Malicious,1995,"John Vernon, Molly Ringwald, Mimi Kuzyk, Sarah Lassez, Jerry Wasserman, Patrick McGaw, Joe Maffei, Rhino Michaels, Jennifer Copping"
Selena,1997,"Jennifer Lopez, Edward James Olmos, Jon Seda, Lupe Ontiveros, Constance Marie, Jacob Vargas, Jackie Guerra, Rebecca Lee Meza, Alex Meneses, Pete Astudillo, Rueben Gonzales, Ricky Vela, Don Shelton, Richard Emanuelle, Panchito Gomez, Richard Coca, George Perez, Brian Fallteen, Carmen Martínez, Elisabeth Gonzalez, Richard Iglesias, Everett Sifuentes, Gil Glasgow, Victoria Elena Flores, Rafael Tamayo, Carl William Holler, Bel Hernandez, Gail Cronauer, Elia Ortiz, Fernando Cubillas, Sal Lopez, Richard William Hughes, Erick Carrillo, Frank Mendez, Seidy López, Francisco J. De La Fuente, Don Cass, Keith Kaslow, Peter P. Montejano, Michael Guerrero, Ronald Gonzales, Chris Doughton, León Singer, Marta Flores, Terry Elena Ordaz, Marcos Padilla, Valerio Longoria Sr., Philip Raybourn, Mark Carrillo, Darline Tigrett, Donnie Neubauer, John Verea, Joe Stevens, Marika Baca, Michelle McManus, Barbara Petricini-Buxton, Leonardo Martinez, Molly Moroney, Desi McGill, Tom Christopher, Cora Cardona, Amin Mery, Lori Berlanga, Larry Cashion, Jeff Dylan Graham, Jason Bradley Jacobs, Raven Kaylor, Ray Melendez, Rick Olmos, Xavier Ramirez, Marc Kenneth Robinson, Darlene Tygrett, Andie X, Nicole Young"
Holy Smoke!,1999,"Kate Winslet, Harvey Keitel, Pam Grier, Daniel Wyllie, Sophie Lee, Tim Robertson, Paul Goddard, Simon Anderson, Julie Hamilton, George Mangos, Austen Tayshus, Kerry Walker, Samantha Murray, Leslie Dayman, Dhritiman Chatterjee, Nalini Krishan"
Gia,1998,"Angelina Jolie, Elizabeth Mitchell, Mila Kunis, Scott Cohen, Faye Dunaway, Mercedes Ruehl, Alexander Enberg, Kylie Travis, Eric Michael Cole, Louis Giambalvo, Samantha Torres"
The Net,1995,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Ray McKinnon, L. Scott Caldwell, Robert Gossett, Daniel Schorr, Wendy Gazelle, Ken Howard, Kristina Krofft, Juan García, Tony Perez, Margo Winkler, Gene Kirkwood, Christopher Darga, Charles Winkler, Julia Pearlstein, Rick Snyder, Gerald Berns, Tannis Benedict, Vaughn Armstrong, Wren T. Brown, Lynn Blades, Israel Juarbe, Julia Vera, Lewis Dix Jr., Lili Flanders, Adam Winkler, Brian Frankish, David Winkler, Wanda-Lee Evans, Kerry Kilbride, Roland Gomez, Melvin Thompson, Rich Bracco, Lucy Butler, John Livingston, Cam Brainard, Dennis Richmond, Elaine Corral Kendall, Alfredo López, Thomas Crawford, John Cappon, Barbara Abedi, Kevin Brown, Hope M. Parrish, Bradford Hill, Danny Breen, Andrew Amador, Melissa Bomes, Bob Dini, Nicole Vigil, Philip Vitola, Gabrielle Wagner"
Black and White,1999,"Stacy Edwards, Gaby Hoffmann, Allan Houston, Scott Caan, Joe Pantoliano, Robert Downey Jr., Ben Stiller, Brooke Shields, Claudia Schiffer, Elijah Wood, Bijou Phillips, Method Man, Mike Tyson, Marla Maples, Oliver ""Power"" Grant, Kidada Jones, Raekwon, William Lee Scott, Eddie Kaye Thomas, James Toback, Jared Leto, Michael B. Jordan"
Rushmore,1998,"Jason Schwartzman, Olivia Williams, Bill Murray, Andrew Wilson, Seymour Cassel, Brian Cox, Connie Nielsen, Mason Gamble, Alexis Bledel, Luke Wilson, Keith McCawley, Marietta Marich, Ronnie McCawley, Sara Tanaka, Stephen McCole"
Amistad,1997,"Matthew McConaughey, Anthony Hopkins, Stellan Skarsgård, Djimon Hounsou, Harry Blackmun, Jeremy Northam, Chiwetel Ejiofor, Pete Postlethwaite, Darren E. Burrows, Anna Paquin, Morgan Freeman, Nigel Hawthorne, David Paymer, Tomas Milian, Razaaq Adoti, Abu Bakaar Fofanah, Kevin J. O'Connor"
Almost Famous,2000,"Patrick Fugit, Billy Crudup, Kate Hudson, Frances McDormand, Philip Seymour Hoffman, Noah Taylor, Zooey Deschanel, Jimmy Fallon, Jason Lee, Peter Frampton, Fairuza Balk, Terry Chen, Bijou Phillips, Michael Angarano, Anna Paquin, Rainn Wilson, Mitch Hedberg, Susan Yeagley, Eric Stonestreet, John Fedevich, Mark Kozelek, Gary Kohn, J. J. Cohen, Olivia Rosewood, Liz Stauber, Ray Porter, Nick Swardson, Jay Baruchel, Kevin Sussman, Alice Marie Crowe, Mark Pellington, Eion Bailey, Erin Foley, Jesse Caron, Charles Walker, Pauley Perrette, Zack Ward, Devin Corey, Pete Droge, Elaine Summers, Marc Maron, Shane Willard, Chris McElprang, Kate Peckham, Julia Decker, Brian Vaughan, Anthony Martelli, Zach Clairville, Ian Ridgeway, Isaac Curtiss, Chris Lennon Davis, Scott N. Stevens, Reathel Bean, Tom Riis Farrell, Laura Bastianelli, Samuel Aaron Roberson, Brian Andreasen, Jared Hren, Mary Dragicevich, Aura Barr, Daniel Wilson, William Barillaro, Holly Maples, Matt Griesser, Nicole Audrey Spector, Patrick Irmen, Cindy Weber, Kris Weber, Kaitlyn Weber, Kimberly Weber, Kristin Weber, Samer Sourakli, Michelle Moretti, Ana Maria Quintana, Lisa Buchignani, William Mapother, Chadney Brewer, Mark Cirillo, Emmy Collins, Bodhi Elfman, Elizabeth Friedman, Kyle Gass, Sarah Kozer, Eric Rosenberg, Evis X. Shaffer, Jann Wenner, John Patrick Amedori, Abraham Smith, Tammy Blue, Wayne Doba, Mark J. Ferreri, David C. Fisher, Melissa Gastgaber, Deirdre O'Brien, Louis E. Rosas, Shannon Saint Ryan, Nicki Sixteen, Christine Vienna, Patrick Williams"
I Shot Andy Warhol,1996,"Lili Taylor, Bill Sage, Martha Plimpton, Lothaire Bluteau, Tahnee Welch, Jared Harris, Stephen Dorff, Anna Thomson, Jill Hennessy, Peter Friedman, Michael Imperioli, Donovan Leitch Jr., Reg Rogers, Justin Theroux, Gabriel Mann"
Pleasantville,1998,"Tobey Maguire, Reese Witherspoon, William H. Macy, Joan Allen, Jeff Daniels, J. T. Walsh, Jane Kaczmarek, Marley Shelton, Paul Walker, Marissa Ribisi, Jenny Lewis, Natalie Ramsey, Justin Nimmo, Kevin Connors, Harry Singleton, Giuseppe Andrews, Maggie Lawson, Jason Behr, Don Knotts, Denise Dowse, McNally Sagal, Paul Morgan Stetler, Heather McGill, Kai Lennox, Robin Bissell, John Ganun, Dawn Cody, Andrea Baker, Lela Ivey, Jim Patric, Marc Blucas, Stanton Rutledge, Jason Maves, Gerald Emerick, Charles C. Stevenson, Nancy Lenehan, Weston Blakesley, Patrick Thomas O'Brien, Jim Antonio, Danny Strong, Kristin Rudrud, Laura Carney, Dan Gillies, Erik MacArthur, Adam Carter, David Tom, Johnny Moran, Jeanine Jackson, J. Patrick Lawlor, James Keane, John F. McCormick, Joseph Benjamin Stewart, Ty Taylor, Meredith Thomas"
Boogie Nights,1997,"Mark Wahlberg, Burt Reynolds, Julianne Moore, Don Cheadle, John C. Reilly, William H. Macy, Philip Seymour Hoffman, Nicole Ari Parker, Heather Graham, Ricky Jay, Joanna Gleason, Alfred Molina, Melora Walters, Philip Baker Hall, Thomas Jane, Robert Ridgely, Luis Guzmán, Nina Hartley, Robert Downey Sr., Skye Blue, Summer Cummings, Michael Penn, Rico Bueno, Samson Barkhordarian, Brad Braeden, Lawrence Hudd, Michael Stein, Stanley DeSantis, Patricia Forte, Kai Lennox, Laurel Holloman, Jason Andrews, Lil' Cinderella, Greg Lauren, Tom Dorfmeister, Jason 'Jake' Cross, Jack Wallace, Selwyn Emerson Miller, Jamielyn Kane, Melissa Spell, Raymond Laboriel, Jon Brion, Brian Kehew, Robin Sharp, Audrey Wiechman, Tim Soronen, Michael Jace, Alexander D. Slanger, Tom Lenk, Lexi Leigh, Laura Gronewold, Vernon Guichard II, Tony Tedeschi, Leslie Redden, Gregory T. Daniel, Jonathan Quint, Don Amendolia, Veronica Hart, Jack Riley, John Doe, Channon Roe, Mike Gunther, Michael Raye Smith, Michael S. Stencil, Dustin Courtney, Allan Graf, Jose Chaidez, B. Philly Johnson, Joe G.M. Chan, Goliath, Israel Juarbe, George Anthony Rae, Eric Winzenried, Sharon Ferrol-Young, Anne Fletcher, Scott Fowler, Melanie A. Gage, Eddie Garcia, Sebastian La Cause, Lance MacDonald, Diane Mizota, Nathan Prevost, Lisa Ratzin, Dee Dee Weathers, Darrel W. Wright, Grace Bustos, Tyrone D. Dixon, Theo Mayes, Coleman McClary, Jami Philbrick, Misty Tamburelli, Sean Welch"
Big Night,1996,"Marc Anthony, Tony Shalhoub, Stanley Tucci, Minnie Driver, Isabella Rossellini, Liev Schreiber, Ian Holm, Allison Janney, Ken Cheeseman, Pasquale Cajano, Christine Tucci, Jack O'Connell, Peter McRobbie, Caroline Aaron, Larry Block, Campbell Scott, Gene Canfield, Karen Shallo"
The Prince of Egypt,1998,"Val Kilmer, Michelle Pfeiffer, Sandra Bullock, Jeff Goldblum, Ofra Haza, Steve Martin, Martin Short, Patrick Stewart, Helen Mirren, Val Kilmer, Ralph Fiennes, Danny Glover, James Avery, Amick Byram, Aria Curzon, Sally Dworsky, Jon Robert Hall, Phillip Ingram, Brian Stokes Mitchell, Bobby Motown, Eden Riegel, Shira Roth, Stephanie Sawyer, Linda Dee Shayne, Francesca Smith, Mel Brooks, Brian Tochi"
Ghost Dog: The Way of the Samurai,1999,"Forest Whitaker, Henry Silva, Tricia Vessey, John Tormey, Cliff Gorman, Victor Argo, Richard Portnow, Frank Minucci, Gene Ruffini, Dennis Liu, Frank Adonis"
Can't Hardly Wait,1998,"Seth Green, Jennifer Love Hewitt, Ethan Embry, Lauren Ambrose, Sean Patrick Thomas, Jaime Pressly, Melissa Joan Hart, Charlie Korsmo, Chris Owen, Donald Faison, Clea DuVall, Jennifer Lyons, Eric Balfour, Selma Blair, Peter Facinelli, Erik Palladino, Jason Segel, Sara Rue, Jenna Elfman, Jerry O'Connell, Meadow Sisto, Tamala Jones, Breckin Meyer, Michelle Brookhurst, Alexander Martin, Channon Roe, Freddy Rodriguez, Joel Michaely, Jay Paulson, Brian Hall, Branden Williams, Robert Jayne, Johnny Zander, Alec Ledd, Seth Peterson, Angelo Vacco, Nick Paulos, Vicellous Reon Shannon, Victor Togunde, Monica McSwain, Marisol Nichols, Liz Stauber, Nicole Bilderback, Paige Moss, Leslie Grossman, Ali MacLean, Brian Klugman, Jennifer Paz, Nils Larsen, Steve Monroe, Eric Brice Scott, Christopher Wiehl, John Patrick White, Jamie Donnelly, Reni Santoni, Rob Roy Fitzgerald, Corinne Reilly, Amber Benson, Jennifer Elise Cox, Harry Elfont, Alexandra Ella, Shannon Frank, Shalen Hutchings, Arden James, Will Klipstine, Mary Ann Schmidt, Tracy R. West, Scott Ryan, Johnny Whitworth, Deborah Kaplan"
Malèna,2000,"Monica Bellucci, Giuseppe Sulfaro, Gabriella Di Luzio, Gaetano Aronica, Angelo Pellegrino, Luciano Federico, Gianluca Guarrera, Matilde Piana, Giovanni Litrico, Gilberto Idonea, Daniele Arena, Vitalba Andrea, Domenico Gennaro, Maria Terranova, Elisa Morucci, Pippo Provvidenti"
The Limey,1999,"Terence Stamp, Lesley Ann Warren, Luis Guzmán, Peter Fonda, Barry Newman, Nicky Katt, Melissa George, Joe Dallesandro, Amelia Heinle, Matthew Kimbrough, William Lucking"
The Talented Mr. Ripley,1999,"Matt Damon, Jude Law, Gwyneth Paltrow, Philip Seymour Hoffman, Jack Davenport, James Rebhorn, Cate Blanchett, Sergio Rubini, Philip Baker Hall, Celia Weston, Fiorello, Stefania Rocca, Ivano Marescotti, Anna Longhi, Gretchen Egolf, Lisa Eichhorn, Alessandro Fabrizi, Jack Willis, Evelina Manna"
Boys Don't Cry,1999,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard, Lecy Goranson, Alison Folland, Brendan Sexton III, Lou Perryman, Jeannetta Arnette, Matt McGrath, Rob Campbell, Cheyenne Rushing, Natalie Zea, Robert Prentiss, Josh Ridgway, Craig Erickson, Jerry Haynes, Stephanie Sechrist"
Volcano,1997,"Tommy Lee Jones, Anne Heche, Don Cheadle, Gaby Hoffmann, Keith David, John Carroll Lynch, Michael Rispoli, Jacqueline Kim, John Corbett, Richard Schiff, Luann Lee, Marcello Thedford, Laurie Lathem, Bert Kramer, Bo Eason, James MacDonald, Dayton Callie, Michael Cutt, Kevin Bourland, Valente Rodriguez, Sheila Howard, Sheila Howard, Gerry Black, Susie Essman, Lou Myers, Gareth Williams, Juan Gabriel Reynoso, Angela Albarez, Richard Penn, Jennifer Estlin, Mickey Cottrell, Darnell Suttles, Ken Kerman, Sal Rendino, Michael Manuel, Jared Thorne, Taylor Thorne, Brad Parker, Pete Kasper, Brian Markinson, Robert Wisdom, Katie Rich, Ceal Coleman, Phil Nee, Gary Cervantes, George Zaver, Marty Levy, Wayne Grace, John Bishop, Marcia del Mar, Mother Love, Kayli DeGregorio, Kelsi DeGregorio, Steven Maines, Josie Dapar, Joy Baggish, Ron Perkins, Todd Sible, Joshua Fardon, Catherine Schreiber, David Pressman, Danny Comden, Michael McGrady, Michole Briana White, Steve MacLaughlin, Howard DuVall, Sam Alejan, Gary Kent James, Robert Tittor, John Perry Edson, David T. Mabowe, Ken Thomas, Eddie J. Low, Georganna Barry, Tom Crabson, Rick Rogers, Harvey Levin, Shepard Smith, Larry Carroll, Christopher Spinder, Penny Griego, Jeremy Thompson, Kerry Kilbride, Jennifer Bjorklund, Angie Crouch, Rick Garcia, Frank Buckley, Peter Trunk, Steve Edwards, Terry Anzur, Sasha Foo, Lonnie Lardner, Chris Myers, Michael Villani, Pat Lalama, Charles Perez, Paula Bond, Teresa Quevedo-Stoll, Sandra Clark, Leo Quinones"
Babe: Pig in the City,1998,"Magda Szubanski, James Cromwell, Mary Stein, E.G. Daily, Danny Mann, Steven Wright, Mickey Rooney, Nathan Kress, James Cosmo, Adam Goldberg, Glenne Headly, Naomi Watts, Danny Mann, Myles Jeffrey, Stanley Ralph Ross, Stanley Ralph Ross, Russi Taylor, Russi Taylor, Eddie Barth, Eddie Barth, Bill Capizzi, Miriam Margolyes, Hugo Weaving, Roscoe Lee Browne, Paul Livingston, Babs McMillan, Matt Parkinson, Julie Godfrey, Kim Story, Richard Carter, Simon Westaway, Margaret Christensen, Janet Foye, Pamela Hawken, Basil Clarke, Cecelia Yates, Damian Monk, Terrell Dixon, Anthony Phelan, Gabby Millgate, Van Epperson, Mark Gerber, Ken Radley, John Samaha, Gareth Clydesdale, Paul Moxey, Ken Johnson, Jennifer Kent, Richard Huggett, Michael Boxer, Felix Williamson, Ric Herbert, David Allsberry, Steve Martin, Hubert Wells, John Walton, Gandhi MacIntyre, Christian Manon, Sacha Horler, John Upton, Peter Callan, Dean Nottle, Paul Maybury, Saskia Campbell, Kristoffer Greaves, Dominic Condon, Elizabeth Allen, Katie Leigh, Evelyn Krape, Evelyn Krape, Charles Bartlett, Michael Edward-Stevens, Al Mancini, Larry Moss, Lisa Bailer, Lisa Bailey, Blayn Barbosa, Victor Brandt, Jeannie Elias, Pippa Grandison, J. D. Hall, Mark Hammond, Wendy Hammers, Julie Offen, Scotty Leavenworth, Julie Oppenheimer, Deborah Packer, Roger Rose, Carly Schroeder, Steve Kramer, Joseph R. Sicari, Barbara Harris, Aaron Spann, Lexi Thomas, Jim Cummings, Nathan Kress"
Velvet Goldmine,1998,"Ewan McGregor, Jonathan Rhys Meyers, Christian Bale, Toni Collette, Eddie Izzard, Lindsay Kemp, Emily Woof, Mairead McKinley, Luke Morgan Oliver, Osheen Jones, Micko Westmoreland, Michael Feast"
Fear,1996,"Reese Witherspoon, Mark Wahlberg, Alyssa Milano, William Petersen, Amy Brenneman, Tracy Fraim, Gary Riley, Christopher Gray, Jason Kristofer, Andrew Airlie, Todd Caldecott, Jed Rees, John Oliver, David Fredericks, Ravinder Toor, Andrew Airlie, Jo Bates, Will Sengotta, L. Harvey Gold, Banner, Rana Morrison"
The Funeral,1996,"Isabella Rossellini, Chris Penn, Annabella Sciorra, Vincent Gallo, Christopher Walken, Gretchen Mol, Benicio del Toro, John Ventimiglia, Paul Hipp, Paul Perri, Victor Argo, Robert Miano, David Patrick Kelly"
Hard Eight,1996,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson, Robert Ridgely, Philip Seymour Hoffman, Melora Walters, F. William Parker, Nathanael Cooper, Steve Blane, Xaleese, Michael J. Rowe, Peter D'Allesandro"
You Can Count on Me,2000,"Laura Linney, Mark Ruffalo, Matthew Broderick, Rory Culkin, Jon Tenney, J. Smith-Cameron, Gaby Hoffmann, Amy Ryan, Adam LeFevre, Halley Feiffer, Kenneth Lonergan, Nina Garbiras, Whitney Vance, Michael Countryman, Peter Kerwin, Josh Lucas, Betsy Aidem, Lisa Altomare, Richard Hummer, Kim Parker, Allan Gill, Brian Ramage, Kevin Kean Murphy"
200 Cigarettes,1999,"Martha Plimpton, Paul Rudd, Christina Ricci, Angela Featherstone, Courtney Love, Ben Affleck, Casey Affleck, Jay Mohr, Catherine Kellner, Brian McCardie, Gaby Hoffmann, Dave Chappelle, Janeane Garofalo, Kate Hudson, Nicole Ari Parker, Guillermo Díaz"
Set It Off,1996,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox, Kimberly Elise, Blair Underwood, John C. McGinley, Thomas Jefferson Byrd, Dr. Dre, Anna Maria Horsford, Ella Joyce, Chaz Lamar Shepherd, Samuel Monroe Jr., Samantha MacLachlan, Vincent Baum, Van Baum"
Music of the Heart,1999,"Jane Leeves, Aidan Quinn, Cloris Leachman, Meryl Streep, Gloria Estefan, Kieran Culkin, Angela Bassett, Charlie Hofheimer, Michael Angarano, Henry Dinhofer, Josh Pais"
Dead Presidents,1995,"Larenz Tate, Keith David, Chris Tucker, N'Bushe Wright, Jenifer Lewis, Freddy Rodriguez, Clifton Powell, James Pickens Jr., Martin Sheen, Clifton Collins Jr., Rose Jackson, Alvaleta Guess, Elizabeth Rodriguez, Terrence Howard, Ryan Williams, Larry McCoy, Rodney Winfield, Cheryl Freeman, Kirk Jones, Bokeem Woodbine, David Barry Gray, Michael Imperioli, Jaimz Woolvett, Quynh Phann, Jean-Claude La Marre, Dan Kruse, Bob Smith, Bernard Telsey, Rik Colitti, Heather B. Gardner, Carlton Wilborn, Frank Albanese, Monti Sharp, Tony Sirico, Robert LuPone, Joëlle Hernandez, Jordan Hernandez, Tim Zay, Charles E. Lesene, Cuc Dinh, Yen Chin Grow, Chad Bonsack, Michael Carrara, Seymour Cassel, Brian Donahue, Collin Fowler, Johnny Gray, Rich Keen, Isaiah Washington"
